,img_id_A,img_id_B,target,f1_x,f2_x,f3_x,f4_x,f5_x,f6_x,f7_x,f8_x,f9_x,f1_y,f2_y,f3_y,f4_y,f5_y,f6_y,f7_y,f8_y,f9_y
0,0359a,0359b,1,2,1,1,0,2,2,0,2,2,3,2,1,0,2,2,3,0,2
1,0375a,0359b,0,3,0,1,3,2,2,0,4,2,3,2,1,0,2,2,3,0,2
2,0359a,1413c,0,2,1,1,0,2,2,0,2,2,1,4,1,3,2,2,1,2,2
3,1413a,1413c,1,2,1,1,1,2,3,0,1,2,1,4,1,3,2,2,1,2,2
4,1413b,1413c,1,0,1,1,0,2,1,0,2,2,1,4,1,3,2,2,1,2,2
5,0577a,0577b,1,2,1,1,0,2,2,0,1,2,2,1,0,3,2,2,1,2,2
6,0576c,0577b,0,2,4,1,1,2,2,0,2,2,2,1,0,3,2,2,1,2,2
7,1366a,0577b,0,3,1,1,0,2,1,1,1,2,2,1,0,3,2,2,1,2,2
8,0577a,0577c,1,2,1,1,0,2,2,0,1,2,1,1,1,1,2,3,0,0,2
9,0577b,0577c,1,2,1,0,3,2,2,1,2,2,1,1,1,1,2,3,0,0,2
10,0577a,0350b,0,2,1,1,0,2,2,0,1,2,2,1,1,3,2,1,1,4,2
11,1565b,0350b,0,2,1,1,3,0,2,0,2,2,2,1,1,3,2,1,1,4,2
12,1120a,1120b,1,2,1,1,3,2,2,0,2,2,1,1,1,0,2,2,0,2,2
13,1120a,1120c,1,2,1,1,3,2,2,0,2,2,2,1,1,0,2,2,0,0,2
14,1120b,1120c,1,1,1,1,0,2,2,0,2,2,2,1,1,0,2,2,0,0,2
15,1120a,0597b,0,2,1,1,3,2,2,0,2,2,2,4,1,3,2,3,0,3,2
16,0338b,0597b,0,2,1,1,3,2,1,0,3,2,2,4,1,3,2,3,0,3,2
17,0597c,0597b,1,1,4,1,0,2,2,1,1,2,2,4,1,3,2,3,0,3,2
18,0461a,0597b,0,3,1,1,3,0,2,0,0,2,2,4,1,3,2,3,0,3,2
19,1120a,1481c,0,2,1,1,3,2,2,0,2,2,2,1,1,3,2,1,0,0,2
20,1481a,1481c,1,3,1,1,1,2,2,0,3,2,2,1,1,3,2,1,0,0,2
21,1481b,1481c,1,2,1,1,1,2,2,1,0,2,2,1,1,3,2,1,0,0,2
22,1121a,1121b,1,2,1,1,3,2,2,0,1,2,2,1,1,0,2,2,0,3,2
23,1121a,1121c,1,2,1,1,3,2,2,0,1,2,1,1,1,0,2,2,0,1,2
24,1121b,1121c,1,2,1,1,0,2,2,0,3,2,1,1,1,0,2,2,0,1,2
25,1121a,1502b,0,2,1,1,3,2,2,0,1,2,3,4,1,3,2,2,0,4,2
26,1261b,1502b,0,3,4,1,0,2,2,0,2,2,3,4,1,3,2,2,0,4,2
27,1229b,1229c,1,1,1,1,3,2,2,0,2,2,2,1,0,0,2,2,1,2,2
28,1302a,1302b,1,2,1,1,3,2,2,0,0,2,3,1,1,0,2,2,0,2,2
29,1302a,1302c,1,2,1,1,3,2,2,0,0,2,2,1,1,3,2,2,0,3,2
30,1302b,1302c,1,3,1,1,0,2,2,0,2,2,2,1,1,3,2,2,0,3,2
31,1305a,1305b,1,1,1,1,0,2,2,0,0,2,2,1,1,0,2,2,1,2,2
32,1305a,1305c,1,1,1,1,0,2,2,0,0,2,1,1,1,3,2,2,0,1,2
33,1305b,1305c,1,2,1,1,0,2,2,1,2,2,1,1,1,3,2,2,0,1,2
34,1305a,1482a,0,1,1,1,0,2,2,0,0,2,2,4,1,3,2,2,3,1,2
35,1482b,1482a,1,1,1,1,3,2,2,1,0,2,2,4,1,3,2,2,3,1,2
36,1386a,1386b,1,1,1,1,0,2,2,0,3,2,3,1,1,0,2,2,0,1,2
37,1386a,1386c,1,1,1,1,0,2,2,0,3,2,3,1,1,3,2,2,0,2,2
38,1386b,1386c,1,3,1,1,0,2,2,0,1,2,3,1,1,3,2,2,0,2,2
39,1386a,1344c,0,1,1,1,0,2,2,0,3,2,3,1,1,3,2,2,1,4,2
40,1344a,1344c,1,1,1,1,0,2,3,0,3,2,3,1,1,3,2,2,1,4,2
41,1344b,1344c,1,3,4,1,3,2,2,0,2,2,3,1,1,3,2,2,1,4,2
42,1386a,1492a,0,1,1,1,0,2,2,0,3,2,1,1,1,3,2,1,0,0,2
43,1391c,1391b,1,2,1,1,0,2,2,1,1,2,3,4,1,0,2,2,1,4,2
44,1391c,1391a,1,2,1,1,0,2,2,1,1,2,3,4,1,3,2,3,0,3,2
45,1481a,1391a,0,3,1,1,1,2,2,0,3,2,3,4,1,3,2,3,0,3,2
46,0381a,1391a,0,1,0,1,3,2,2,0,3,2,3,4,1,3,2,3,0,3,2
47,1391b,1391a,1,3,4,1,0,2,2,1,4,2,3,4,1,3,2,3,0,3,2
48,0461b,1391a,0,2,1,1,0,2,2,2,0,1,3,4,1,3,2,3,0,3,2
49,1489a,1489b,1,1,1,1,3,2,2,0,0,2,2,1,1,3,2,2,1,2,2
50,1489a,1489c,1,1,1,1,3,2,2,0,0,2,2,4,1,0,2,2,1,1,2
51,1489b,1489c,1,2,1,1,3,2,2,1,2,2,2,4,1,0,2,2,1,1,2
52,1489a,0367c,0,1,1,1,3,2,2,0,0,2,3,1,1,3,2,2,0,1,2
53,0367a,0367c,1,2,1,1,0,2,2,0,4,2,3,1,1,3,2,2,0,1,2
54,0367b,0367c,1,1,1,1,0,2,2,1,2,2,3,1,1,3,2,2,0,1,2
55,1517a,1517b,1,2,1,1,1,2,2,0,2,2,1,1,1,3,2,2,0,3,2
56,1517a,1517c,1,2,1,1,1,2,2,0,2,2,3,0,1,0,2,2,1,4,2
57,1517b,1517c,1,1,1,1,3,2,2,0,3,2,3,0,1,0,2,2,1,4,2
58,0381b,1517c,0,3,1,1,0,2,3,0,4,2,3,0,1,0,2,2,1,4,2
59,1517a,0503b,0,2,1,1,1,2,2,0,2,2,2,1,1,1,2,2,1,1,2
60,0503a,0503b,1,2,1,1,0,2,3,0,2,2,2,1,1,1,2,2,1,1,2
61,0331b,0331a,1,3,1,1,0,2,2,0,0,2,3,1,0,0,2,2,3,2,2
62,0331b,0570c,0,3,1,1,0,2,2,0,0,2,3,4,1,1,2,2,0,1,2
63,0560c,0570c,0,1,1,1,0,2,1,1,0,2,3,4,1,1,2,2,0,1,2
64,0331b,1362c,0,3,1,1,0,2,2,0,0,2,3,0,1,0,2,2,0,2,2
65,1362a,1362c,1,3,1,1,3,2,2,0,0,2,3,0,1,0,2,2,0,2,2
66,1362b,1362c,1,2,1,1,3,2,2,0,4,2,3,0,1,0,2,2,0,2,2
67,0367a,0367b,1,2,1,1,0,2,2,0,4,2,1,1,1,0,2,2,1,2,2
68,0379b,0379c,1,3,1,1,0,2,2,0,3,2,2,1,1,2,2,2,0,3,2
69,0379b,0537a,0,3,1,1,0,2,2,0,3,2,3,1,1,3,2,2,2,1,2
70,0379b,0532b,0,3,1,1,0,2,2,0,3,2,2,1,1,3,0,2,0,1,1
71,1441a,0532b,0,1,1,1,1,2,2,2,1,2,2,1,1,3,0,2,0,1,1
72,0458a,0458c,1,2,1,1,0,2,2,1,0,2,3,0,1,0,2,2,0,3,2
73,0458a,0458b,1,2,1,1,0,2,2,1,0,2,3,2,1,3,2,2,1,3,2
74,0458c,0458b,1,3,0,1,0,2,2,0,3,2,3,2,1,3,2,2,1,3,2
75,0458a,1137b,0,2,1,1,0,2,2,1,0,2,3,1,1,3,2,1,0,0,2
76,1137a,1137b,1,1,1,1,0,2,1,0,1,2,3,1,1,3,2,1,0,0,2
77,0458a,1328c,0,2,1,1,0,2,2,1,0,2,1,1,1,3,2,2,2,1,1
78,1328a,1328c,1,3,1,1,2,2,3,0,0,2,1,1,1,3,2,2,2,1,1
79,1328b,1328c,1,1,2,1,0,2,2,3,2,2,1,1,1,3,2,2,2,1,1
80,0565a,0565b,1,2,1,1,3,2,2,1,1,2,2,1,1,0,2,2,1,3,2
81,0565a,0565c,1,2,1,1,3,2,2,1,1,2,2,1,1,1,2,2,0,1,2
82,0565b,0565c,1,2,1,1,0,2,2,1,3,2,2,1,1,1,2,2,0,1,2
83,0565a,0461b,0,2,1,1,3,2,2,1,1,2,2,1,1,0,2,2,2,0,1
84,0461a,0461b,1,3,1,1,3,0,2,0,0,2,2,1,1,0,2,2,2,0,1
85,1181a,0461b,0,1,0,1,0,2,1,0,2,2,2,1,1,0,2,2,2,0,1
86,0565a,1534b,0,2,1,1,3,2,2,1,1,2,1,1,1,3,2,2,1,1,2
87,1254c,1254a,1,1,1,1,0,2,2,1,1,2,1,1,1,1,2,1,3,3,2
88,0313b,1254a,0,2,1,0,2,2,2,0,0,2,1,1,1,1,2,1,3,3,2
89,1254c,1254b,1,1,1,1,0,2,2,1,1,2,2,1,0,2,2,2,1,3,2
90,1253a,1254b,0,3,0,1,0,2,2,3,2,2,2,1,0,2,2,2,1,3,2
91,0421b,1254b,0,2,0,1,1,0,2,0,0,2,2,1,0,2,2,2,1,3,2
92,1254a,1254b,1,1,1,1,1,2,1,3,3,2,2,1,0,2,2,2,1,3,2
93,1362a,1362b,1,3,1,1,3,2,2,0,0,2,2,1,1,3,2,2,0,4,2
94,1362a,1516b,0,3,1,1,3,2,2,0,0,2,2,1,1,1,2,1,0,1,2
95,1516a,1516b,1,2,0,1,0,2,2,1,1,2,2,1,1,1,2,1,0,1,2
96,1362a,0472c,0,3,1,1,3,2,2,0,0,2,2,1,1,1,2,2,3,2,2
97,0472b,0472c,1,2,1,1,0,2,1,1,2,2,2,1,1,1,2,2,3,2,2
98,0472a,0472c,1,3,1,1,3,2,3,0,0,2,2,1,1,1,2,2,3,2,2
99,1362a,1343a,0,3,1,1,3,2,2,0,0,2,2,0,1,0,2,1,0,0,2
100,1362a,0560a,0,3,1,1,3,2,2,0,0,2,2,4,1,0,0,2,0,3,2
101,0560c,0560a,1,1,1,1,0,2,1,1,0,2,2,4,1,0,0,2,0,3,2
102,1362a,1330b,0,3,1,1,3,2,2,0,0,2,2,2,1,3,2,2,0,4,2
103,1330a,1330b,1,3,2,1,3,2,2,0,0,2,2,2,1,3,2,2,0,4,2
104,1446a,1446b,1,1,1,1,3,2,2,1,2,2,1,1,1,1,2,2,0,2,2
105,1446a,1446c,1,1,1,1,3,2,2,1,2,2,3,1,1,3,2,2,0,3,2
106,1446b,1446c,1,1,1,1,1,2,2,0,2,2,3,1,1,3,2,2,0,3,2
107,1454b,1454c,1,2,1,1,3,2,2,1,0,2,1,1,1,0,2,2,0,4,2
108,1454b,1454a,1,2,1,1,3,2,2,1,0,2,2,4,1,3,2,2,1,1,2
109,1454c,1454a,1,1,1,1,0,2,2,0,4,2,2,4,1,3,2,2,1,1,2
110,1454b,1416b,0,2,1,1,3,2,2,1,0,2,2,0,1,0,2,2,1,2,2
111,1455a,1455b,1,3,1,1,0,2,2,1,2,2,2,1,1,1,2,2,0,0,2
112,1455a,1455c,1,3,1,1,0,2,2,1,2,2,2,1,1,3,2,2,1,3,2
113,1455b,1455c,1,2,1,1,1,2,2,0,0,2,2,1,1,3,2,2,1,3,2
114,1510b,1510c,1,1,1,1,0,2,2,1,0,2,2,1,1,1,2,2,0,3,2
115,1510b,1510a,1,1,1,1,0,2,2,1,0,2,1,1,1,0,2,1,0,3,2
116,1510c,1510a,1,2,1,1,1,2,2,0,3,2,1,1,1,0,2,1,0,3,2
117,1534b,1534c,1,1,1,1,3,2,2,1,1,2,3,1,1,0,2,1,0,3,2
118,1534b,1534a,1,1,1,1,3,2,2,1,1,2,2,1,1,1,2,3,1,3,2
119,1534c,1534a,1,3,1,1,0,2,1,0,3,2,2,1,1,1,2,3,1,3,2
120,1540b,1540c,1,1,1,1,0,2,2,1,3,2,1,2,1,0,2,2,1,0,1
121,1300a,1300b,1,1,1,1,1,2,2,0,1,2,2,1,1,0,2,1,0,2,2
122,1300a,1300c,1,1,1,1,1,2,2,0,1,2,3,1,1,0,2,2,1,1,2
123,1300b,1300c,1,2,1,1,0,2,1,0,2,2,3,1,1,0,2,2,1,1,2
124,1300a,0538c,0,1,1,1,1,2,2,0,1,2,2,2,1,0,2,2,2,1,2
125,0538a,0538c,1,2,1,0,3,2,2,1,4,2,2,2,1,0,2,2,2,1,2
126,0538b,0538c,1,1,1,1,3,2,1,2,1,2,2,2,1,0,2,2,2,1,2
127,1300a,1134a,0,1,1,1,1,2,2,0,1,2,2,0,1,3,2,2,1,0,2
128,0584a,1134a,0,1,1,1,1,2,2,0,0,2,2,0,1,3,2,2,1,0,2
129,1309a,1309b,1,0,1,1,0,2,2,0,2,2,2,2,1,3,2,2,0,0,2
130,0374b,1309b,0,1,4,1,3,2,2,0,1,2,2,2,1,3,2,2,0,0,2
131,1489c,1309b,0,2,4,1,0,2,2,1,1,2,2,2,1,3,2,2,0,0,2
132,1309a,1309c,1,0,1,1,0,2,2,0,2,2,1,1,0,1,0,1,0,2,1
133,1309b,1309c,1,2,2,1,3,2,2,0,0,2,1,1,0,1,0,1,0,2,1
134,1402b,1309c,0,1,2,1,3,0,2,1,3,2,1,1,0,1,0,1,0,2,1
135,1309a,1487a,0,0,1,1,0,2,2,0,2,2,2,1,1,3,2,3,0,2,2
136,1453a,1453b,1,1,1,1,3,2,2,0,4,2,3,1,1,3,2,2,1,2,2
137,1453a,1453c,1,1,1,1,3,2,2,0,4,2,2,1,1,0,2,2,0,2,1
138,1453b,1453c,1,3,1,1,3,2,2,1,2,2,2,1,1,0,2,2,0,2,1
139,1482b,1341c,0,1,1,1,3,2,2,1,0,2,2,1,1,2,2,2,1,4,2
140,0491b,1341c,0,2,1,1,0,2,1,1,0,2,2,1,1,2,2,2,1,4,2
141,1164c,1341c,0,3,1,1,3,2,3,0,2,2,2,1,1,2,2,2,1,4,2
142,1341a,1341c,1,0,2,1,0,2,2,0,2,2,2,1,1,2,2,2,1,4,2
143,1341b,1341c,1,2,4,1,0,2,3,0,2,2,2,1,1,2,2,2,1,4,2
144,1518c,1518a,1,2,1,1,0,2,1,0,1,2,2,2,1,3,2,2,0,1,2
145,1518c,1341b,0,2,1,1,0,2,1,0,1,2,2,4,1,0,2,3,0,2,2
146,1341a,1341b,1,0,2,1,0,2,2,0,2,2,2,4,1,0,2,3,0,2,2
147,1518c,0349b,0,2,1,1,0,2,1,0,1,2,0,1,1,3,2,2,3,1,2
148,0600a,0349b,0,2,1,1,0,2,1,0,3,2,0,1,1,3,2,2,3,1,2
149,0349a,0349b,1,3,1,1,1,2,1,0,1,2,0,1,1,3,2,2,3,1,2
150,1518c,1545c,0,2,1,1,0,2,1,0,1,2,2,1,1,3,2,3,0,1,2
151,1545a,1545c,1,0,1,1,0,2,2,1,2,2,2,1,1,3,2,3,0,1,2
152,1545b,1545c,1,2,1,1,0,0,2,0,1,2,2,1,1,3,2,3,0,1,2
153,1543a,1543b,1,3,1,1,0,2,2,0,4,2,2,1,1,2,2,2,1,0,2
154,1543a,1543c,1,3,1,1,0,2,2,0,4,2,1,1,1,1,2,2,0,2,1
155,1543b,1543c,1,2,1,1,2,2,2,1,0,2,1,1,1,1,2,2,0,2,1
156,1543a,1441b,0,3,1,1,0,2,2,0,4,2,2,0,1,0,0,2,0,2,2
157,1441a,1441b,1,1,1,1,1,2,2,2,1,2,2,0,1,0,0,2,0,2,2
158,0584a,0584b,1,1,1,1,1,2,2,0,0,2,2,1,1,1,2,2,1,2,2
159,0584a,0584c,1,1,1,1,1,2,2,0,0,2,0,1,1,0,2,2,0,1,2
160,0584b,0584c,1,2,1,1,1,2,2,1,2,2,0,1,1,0,2,2,0,1,2
161,0584a,1445c,0,1,1,1,1,2,2,0,0,2,2,1,1,0,2,3,0,0,2
162,1565a,1445c,0,2,4,1,3,2,2,0,1,2,2,1,1,0,2,3,0,0,2
163,1445a,1445c,1,0,1,1,3,2,2,0,3,2,2,1,1,0,2,3,0,0,2
164,1445b,1445c,1,2,1,1,2,2,2,0,0,2,2,1,1,0,2,3,0,0,2
165,1127a,1127b,1,1,1,1,3,2,2,1,3,2,3,1,1,0,2,2,1,0,2
166,1127a,1127c,1,1,1,1,3,2,2,1,3,2,2,4,1,0,2,2,0,2,2
167,1127b,1127c,1,3,1,1,0,2,2,1,0,2,2,4,1,0,2,2,0,2,2
168,1284a,1284b,1,2,1,1,0,2,2,1,4,2,1,1,1,3,0,2,0,1,2
169,1284a,1284c,1,2,1,1,0,2,2,1,4,2,3,1,1,0,2,1,1,2,2
170,1320a,1284c,0,1,1,1,3,2,1,0,3,2,3,1,1,0,2,1,1,2,2
171,1284b,1284c,1,1,1,1,3,0,2,0,1,2,3,1,1,0,2,1,1,2,2
172,1360b,1360a,1,2,0,1,0,2,2,0,2,2,3,1,0,2,2,2,0,2,2
173,1329a,1360a,0,1,1,1,3,2,1,1,3,2,3,1,0,2,2,2,0,2,2
174,1562b,1360a,0,1,2,1,0,0,2,0,2,2,3,1,0,2,2,2,0,2,2
175,1360b,1360c,1,2,0,1,0,2,2,0,2,2,0,1,1,2,1,2,1,1,1
176,1360a,1360c,1,3,1,0,2,2,2,0,2,2,0,1,1,2,1,2,1,1,1
177,1364b,1364c,1,3,1,1,3,2,2,1,1,2,2,2,1,0,2,2,1,3,2
178,1364b,1364a,1,3,1,1,3,2,2,1,1,2,2,1,1,2,0,2,0,3,2
179,1364c,1364a,1,2,2,1,0,2,2,1,3,2,2,1,1,2,0,2,0,3,2
180,1364b,1255b,0,3,1,1,3,2,2,1,1,2,1,1,1,1,2,2,1,4,2
181,0355c,1255b,0,1,1,1,1,2,1,0,1,2,1,1,1,1,2,2,1,4,2
182,1255a,1255b,1,1,1,1,0,2,2,1,0,1,1,1,1,1,2,2,1,4,2
183,1490c,1490b,1,0,1,1,3,2,2,0,2,2,1,0,1,3,2,1,0,2,2
184,0562a,1490b,0,0,1,1,3,2,2,1,4,2,1,0,1,3,2,1,0,2,2
185,1490c,1129b,0,0,1,1,3,2,2,0,2,2,3,1,1,0,2,2,1,4,1
186,1129c,1129b,1,1,2,1,3,2,2,0,2,2,3,1,1,0,2,2,1,4,1
187,1543b,1129b,0,2,1,1,2,2,2,1,0,2,3,1,1,0,2,2,1,4,1
188,1129a,1129b,1,3,1,1,0,2,2,3,1,2,3,1,1,0,2,2,1,4,1
189,1490c,0372a,0,0,1,1,3,2,2,0,2,2,1,1,1,3,2,1,0,1,1
190,1329b,0372a,0,1,1,1,3,2,2,3,0,2,1,1,1,3,2,1,0,1,1
191,1472c,0372a,0,2,0,1,3,2,2,1,1,2,1,1,1,3,2,1,0,1,1
192,1490c,1344b,0,0,1,1,3,2,2,0,2,2,3,4,1,3,2,2,0,2,2
193,1344a,1344b,1,1,1,1,0,2,3,0,3,2,3,4,1,3,2,2,0,2,2
194,1491a,1491b,1,3,1,1,0,2,2,1,3,2,2,1,1,0,2,2,0,1,1
195,1491a,1491c,1,3,1,1,0,2,2,1,3,2,1,1,1,1,2,2,1,0,2
196,1491b,1491c,1,2,1,1,0,2,2,0,1,1,1,1,1,1,2,2,1,0,2
197,1491a,1375a,0,3,1,1,0,2,2,1,3,2,1,0,1,1,2,2,0,3,2
198,1375b,1375a,1,1,4,1,3,2,2,0,3,2,1,0,1,1,2,2,0,3,2
199,1375c,1375a,1,3,4,1,0,2,2,0,0,2,1,0,1,1,2,2,0,3,2
200,0402b,1375a,0,3,4,1,3,2,2,1,2,2,1,0,1,1,2,2,0,3,2
201,1491a,1531a,0,3,1,1,0,2,2,1,3,2,2,0,1,0,2,3,0,3,2
202,1531b,1531a,1,2,1,1,3,2,1,1,3,2,2,0,1,0,2,3,0,3,2
203,1531c,1531a,1,3,1,1,0,2,3,1,2,2,2,0,1,0,2,3,0,3,2
204,1491a,1289b,0,3,1,1,0,2,2,1,3,2,1,4,1,3,2,2,0,2,2
205,1289a,1289b,1,2,1,1,0,2,3,0,3,2,1,4,1,3,2,2,0,2,2
206,0321c,0321a,1,2,1,1,2,2,2,0,2,2,2,1,1,3,2,1,1,2,1
207,0434b,0321a,0,1,4,1,0,2,2,0,0,2,2,1,1,3,2,1,1,2,1
208,0372a,0321a,0,1,1,1,3,2,1,0,1,1,2,1,1,3,2,1,1,2,1
209,0321c,0321b,1,2,1,1,2,2,2,0,2,2,3,2,1,3,2,2,1,4,2
210,0321a,0321b,1,2,1,1,3,2,1,1,2,1,3,2,1,3,2,2,1,4,2
211,0451a,0451b,1,2,1,1,0,2,1,0,0,2,2,1,1,3,0,2,1,2,1
212,1513b,0451b,0,2,0,1,3,2,3,0,2,2,2,1,1,3,0,2,1,2,1
213,0451a,0451c,1,2,1,1,0,2,1,0,0,2,1,0,1,1,2,2,0,2,1
214,0451b,0451c,1,2,1,1,3,0,2,1,2,1,1,0,1,1,2,2,0,2,1
215,0451a,1365a,0,2,1,1,0,2,1,0,0,2,3,4,1,3,2,1,0,3,2
216,0571b,1365a,0,0,1,1,0,2,2,0,0,2,3,4,1,3,2,1,0,3,2
217,0577b,1365a,0,2,1,0,3,2,2,1,2,2,3,4,1,3,2,1,0,3,2
218,1365c,1365a,1,2,2,1,1,2,2,1,2,2,3,4,1,3,2,1,0,3,2
219,1296c,1365a,0,1,1,1,3,0,2,1,0,2,3,4,1,3,2,1,0,3,2
220,0451a,1512c,0,2,1,1,0,2,1,0,0,2,2,1,1,1,2,2,1,3,2
221,1512b,1512c,1,2,0,1,0,2,2,0,0,2,2,1,1,1,2,2,1,3,2
222,0503a,1533b,0,2,1,1,0,2,3,0,2,2,1,0,1,0,2,3,0,4,2
223,0503a,1498a,0,2,1,1,0,2,3,0,2,2,0,1,1,1,2,2,1,2,2
224,0503a,1268a,0,2,1,1,0,2,3,0,2,2,2,1,1,0,0,2,0,4,2
225,0561a,0561b,1,2,1,1,3,2,1,0,1,2,3,1,1,3,2,2,0,4,2
226,0561a,1222c,0,2,1,1,3,2,1,0,1,2,0,1,1,0,2,2,1,2,1
227,1512b,1222c,0,2,0,1,0,2,2,0,0,2,0,1,1,0,2,2,1,2,1
228,1135b,1222c,0,3,1,1,0,2,3,1,1,2,0,1,1,0,2,2,1,2,1
229,1528c,1222c,0,0,1,1,3,2,2,0,0,2,0,1,1,0,2,2,1,2,1
230,0571b,0571a,1,0,1,1,0,2,2,0,0,2,2,4,1,3,2,3,0,1,2
231,0571b,0571c,1,0,1,1,0,2,2,0,0,2,1,0,1,1,0,1,0,1,1
232,0571a,0571c,1,2,4,1,3,2,3,0,1,2,1,0,1,1,0,1,0,1,1
233,1220b,0571c,0,0,1,1,1,2,3,1,2,1,1,0,1,1,0,1,0,1,1
234,0600a,0600b,1,2,1,1,0,2,1,0,3,2,0,1,1,3,2,2,0,1,2
235,0600a,0600c,1,2,1,1,0,2,1,0,3,2,3,1,1,3,2,2,1,0,2
236,0600b,0600c,1,0,1,1,3,2,2,0,1,2,3,1,1,3,2,2,1,0,2
237,0600a,1528c,0,2,1,1,0,2,1,0,3,2,0,1,1,3,2,2,0,0,2
238,1137a,1137c,1,1,1,1,0,2,1,0,1,2,2,2,1,3,2,2,0,3,2
239,1486a,1137c,0,1,0,1,0,2,2,0,1,2,2,2,1,3,2,2,0,3,2
240,1137b,1137c,1,3,1,1,3,2,1,0,0,2,2,2,1,3,2,2,0,3,2
241,1230a,1230c,1,0,1,1,0,2,2,0,3,2,2,4,1,3,2,2,0,2,2
242,1230a,1230b,1,0,1,1,0,2,2,0,3,2,1,1,0,3,2,2,1,3,2
243,1230c,1230b,1,2,4,1,3,2,2,0,2,2,1,1,0,3,2,2,1,3,2
244,1452b,1230b,0,1,0,1,3,2,2,0,2,2,1,1,0,3,2,2,1,3,2
245,1230a,0431c,0,0,1,1,0,2,2,0,3,2,2,0,1,0,2,2,2,3,2
246,1230a,1336a,0,0,1,1,0,2,2,0,3,2,0,1,1,2,2,2,0,0,2
247,1230a,0432c,0,0,1,1,0,2,2,0,3,2,3,1,1,0,2,2,2,0,2
248,0432a,0432c,1,3,0,1,3,2,2,1,2,2,3,1,1,0,2,2,2,0,2
249,1248a,1248b,1,2,1,1,3,2,2,1,4,2,3,1,1,1,2,2,0,0,2
250,1248a,1248c,1,2,1,1,3,2,2,1,4,2,1,1,1,1,2,2,1,2,2
251,1248b,1248c,1,3,1,1,1,2,2,0,0,2,1,1,1,1,2,2,1,2,2
252,1248a,0555b,0,2,1,1,3,2,2,1,4,2,1,1,1,0,1,2,0,2,2
253,0321a,0555b,0,2,1,1,3,2,1,1,2,1,1,1,1,0,1,2,0,2,2
254,1248a,1252b,0,2,1,1,3,2,2,1,4,2,2,2,1,3,2,2,1,1,2
255,1252a,1252b,1,3,1,1,3,2,3,0,3,2,2,2,1,3,2,2,1,1,2
256,1335a,1335b,1,2,1,1,0,2,3,0,1,2,2,2,1,0,2,2,3,2,2
257,1335a,1335c,1,2,1,1,0,2,3,0,1,2,2,1,1,3,2,2,2,1,1
258,1335b,1335c,1,2,2,1,0,2,2,3,2,2,2,1,1,3,2,2,2,1,1
259,1378b,1378c,1,3,1,1,3,2,2,1,3,2,1,1,1,3,2,1,0,2,2
260,1378b,1378a,1,3,1,1,3,2,2,1,3,2,3,4,1,3,2,3,0,0,2
261,1378c,1378a,1,1,1,1,3,2,1,0,2,2,3,4,1,3,2,3,0,0,2
262,1378b,1444b,0,3,1,1,3,2,2,1,3,2,1,0,1,1,2,2,0,0,1
263,1444a,1444b,1,0,1,1,0,2,3,0,3,2,1,0,1,1,2,2,0,0,1
264,1378b,0477b,0,3,1,1,3,2,2,1,3,2,2,1,1,1,2,3,0,2,2
